TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,SPREAD,VOLUME
2025-06-11 02:09:00,3325.2,3327.22,3325.12,3326.18,94,12,0
2025-06-11 02:10:00,3326.18,3326.34,3325.4,3325.93,56,12,0
2025-06-11 02:11:00,3325.93,3326.67,3325.84,3325.88,90,12,0
2025-06-11 02:12:00,3325.88,3326.28,3325.42,3325.9,61,12,0
2025-06-11 02:13:00,3325.9,3325.95,3325.51,3325.63,43,7,0
2025-06-11 02:14:00,3325.63,3325.84,3325.27,3325.74,54,5,0
2025-06-11 02:15:00,3325.74,3326.23,3325.02,3325.1,88,5,0
2025-06-11 02:16:00,3325.1,3325.1,3323.02,3323.04,99,7,0
2025-06-11 02:17:00,3323.04,3323.47,3322.52,3322.54,93,12,0
2025-06-11 02:18:00,3322.54,3323.58,3322.2,3323.4,49,12,0
2025-06-11 02:19:00,3323.4,3323.4,3322.03,3322.03,66,9,0
2025-06-11 02:20:00,3322.02,3322.46,3318.81,3319.34,166,12,0
2025-06-11 02:21:00,3319.37,3319.9,3316.48,3317.52,183,12,0
2025-06-11 02:22:00,3317.48,3317.79,3315.53,3317.52,205,12,0
2025-06-11 02:23:00,3317.32,3320.24,3317.3,3319.7,161,11,0
2025-06-11 02:24:00,3319.7,3321.82,3319.65,3320.85,169,10,0
2025-06-11 02:25:00,3320.85,3320.95,3319.14,3319.38,114,7,0
2025-06-11 02:26:00,3319.36,3321.54,3319.12,3321.54,96,6,0
2025-06-11 02:27:00,3321.74,3322.34,3320.94,3321.57,142,6,0
2025-06-11 02:28:00,3321.57,3322.61,3321.57,3322.53,78,5,0
2025-06-11 02:29:00,3322.53,3323.3,3321.95,3321.95,67,5,0
2025-06-11 02:30:00,3321.95,3322.85,3321.53,3321.56,84,5,0
2025-06-11 02:31:00,3321.56,3322.41,3321.17,3321.49,73,5,0
2025-06-11 02:32:00,3321.49,3321.68,3320.4,3320.64,81,5,0
2025-06-11 02:33:00,3320.64,3321.49,3319.6,3320.87,74,5,0
2025-06-11 02:34:00,3320.87,3321.5,3320.87,3321.34,63,7,0
2025-06-11 02:35:00,3321.34,3323.76,3321.34,3323.76,82,6,0
2025-06-11 02:36:00,3323.75,3324.01,3322.83,3324.01,103,8,0
2025-06-11 02:37:00,3324.01,3324.69,3323.87,3324.69,89,5,0
2025-06-11 02:38:00,3324.69,3325.36,3324.63,3324.8,90,5,0
